,ip_address,web_source,datetime,get_log,number_log_1,number_log_2,web_source_features,specification,TLS,tls_num1,tls_num2,tls_num3,status_tls,status_num,NC,up
496,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/wp-content/themes/gar-mdi/assets/plugins/font-awesome/css/font-awesome.min.css,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
498,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/food-services.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
500,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/financial-highlights.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
502,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/internship.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
504,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/consumer-products.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
506,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/press-releases.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
508,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/img/ic_times_grey.svg HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
510,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2017/07/Biofuel-Icon.jpg HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
512,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/partnership-membership.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.683,,0.0,NC:000000,UP:-DT
514,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/comm-engagement.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.683,,0.0,NC:000000,UP:-DT
516,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/img/export/in-icn.svg HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
518,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/gallery.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
520,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/SINARMAS-ICON-PUTIH-9.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.683,,0.0,NC:000000,UP:-DT
522,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/sustainability-icon.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.683,,0.0,NC:000000,UP:-DT
524,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/meet-our-experts.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
526,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/certification.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.683,,0.0,NC:000000,UP:-DT
528,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/plugins/wpglobus/includes/js/wpglobus.min.js?ver=2.10.4 HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,52.815,,0.0,NC:000000,UP:-DT
530,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/Group-3402-150x150-1.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.683,,0.0,NC:000000,UP:-DT
532,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2022/03/snowboarder-on-winter.jpg HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
534,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/oleochemicals.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
536,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/climate-change.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.683,,0.0,NC:000000,UP:-DT
538,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/sgx-fillings.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
540,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/publications.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
542,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/01/Blogs-fn-1.jpg HTTP/2.0,200.0,8192.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,67.563,,0.0,NC:000000,UP:-DT
544,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/plugins/fancybox/jquery.fancybox3.2.min.js HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.727,,0.0,NC:000000,UP:-DT
546,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/plugins/chartjs/Chart.min.js HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.727,,0.0,NC:000000,UP:-DT
548,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/img/export/tw-icn.svg HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
550,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2017/05/10-Products-cover-image.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
552,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/prospective-suppliers.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
554,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/img/export/fb-icn.svg HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
556,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/graduates-pro.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
558,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/responsible-sourcing.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.683,,0.0,NC:000000,UP:-DT
560,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/support-palm.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
562,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/Group-3581.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,47.683,,0.0,NC:000000,UP:-DT
564,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2017/03/faq-edit.jpg HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
566,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/uploads/2021/09/faq-palm.png HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.886,,0.0,NC:000000,UP:-DT
568,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/img/export/mail-icn.svg HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
570,103.108.22.7,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/img/smart-logo-white.svg HTTP/2.0,200.0,0.0,https://www.smart-tbk.com/tanya-jawab-kelapa-sawit/,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36",TLSv1.3,,,46.728,,0.0,NC:000000,UP:-DT
572,115.178.207.54,www.smart-tbk.com,2022-10-06 04:34:14,GET /pemegang-saham-pt-smart-tbk-sahkan-laporan-tahunan-direksi-tahun-2016/ HTTP/1.1,200.0,51286.0,https://www.smart-tbk.com/kabar-peristiwa/pers/,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),TLSv1.2,0.447,0.452,0.927,MISS,0.0,NC:000000,UP:-
574,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/plugins/OwlCarousel2/owl.carousel.min.js HTTP/2.0,200.0,11036.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
576,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/plugins/bootstrap-4.5.0/js/bootstrap.min.js HTTP/2.0,200.0,14123.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
578,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/plugins/popper.min.js HTTP/2.0,200.0,8465.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
580,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/themes/gar-mdi/assets/plugins/jquery-3.6.0.min.js HTTP/2.0,200.0,30113.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
582,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/plugins/custom-twitter-feeds/js/ctf-scripts.min.js?ver=2.0.3 HTTP/2.0,200.0,5526.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
584,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/plugins/wpglobus/includes/js/wpglobus.min.js?ver=2.10.4 HTTP/2.0,200.0,302.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
586,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=5.6.3 HTTP/2.0,200.0,440.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000100,UP:-DT
588,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0 HTTP/2.0,200.0,6849.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
590,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9 HTTP/2.0,200.0,2349.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
592,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/plugins/cf7-conditional-fields/js/scripts.js?ver=2.2.6 HTTP/2.0,200.0,30831.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
594,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/plugins/wpupper-share-buttons/build/front.js?ver=3.42 HTTP/2.0,200.0,4479.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
596,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/plugins/wp-postviews/postviews-cache.js?ver=1.68 HTTP/2.0,200.0,104.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
598,140.213.230.27,www.smart-tbk.com,2022-10-06 04:34:14,GET /wp-content/plugins/jquery-collapse-o-matic/js/collapse.js?ver=1.7.0 HTTP/2.0,200.0,3471.0,https://www.smart-tbk.com/biofuel-sumber-energi-alternatif/,"Mozilla/5.0 (Linux; Android 11; V2026) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",TLSv1.3,,,0.0,,0.0,NC:000000,UP:-DT
